time,p_tank,p_inj,p_comb
4153.7375,-857.1220586666643,-1649.8314613332973,169.59191533334476
4153.74,-857.224695666666,-1649.044578666628,169.52664866667862
4153.7425,-857.1615343333339,-1648.6524533332947,169.4550660000144
4153.745,-857.2641709999996,-1648.8866759999655,169.31821700001214
4153.7475,-857.3878616666693,-1650.8209866666234,169.20873733334398
4153.75,-857.4483913333388,-1652.268429666618,169.06767733334175
4153.7525,-857.4826036666752,-1653.0474169999516,168.97083000000566
4153.755,-857.5062893333379,-1651.9420969999396,168.9139846666716
4153.7575,-857.5536603333428,-1650.7472983332816,168.7918730000034
4153.76,-857.5641873333448,-1650.057788999953,168.67397200000318
4153.7625,-857.5089213333403,-1650.7025593332946,168.61502133333514
4153.765,-857.6484023333372,-1651.7684039999576,168.48659366666496
4153.7675,-857.6852463333363,-1652.3552763332923,168.3686926666647
4153.77,-857.772093000003,-1652.5421279999582,168.28447766666457
4153.7725,-857.7457756666699,-1651.2104803332904,168.15815533333225
4153.775,-857.7905150000045,-1650.6709786666247,168.044465333332
4153.7775,-857.872098333342,-1650.5288659999458,167.97919866666587
4153.78,-857.8326226666725,-1651.95788733329,167.86129766666562
4153.7825,-857.9299960000052,-1653.5632333332828,167.78550433332956
4153.785,-857.9168376666765,-1654.4448576666105,167.6970786666614
4153.7875,-858.0010523333408,-1654.0290466666222,167.562334999997
4153.79,-857.8905203333396,-1652.2552706666136,167.4949629999969
4153.7925,-857.7431443333393,-1650.9473083332803,167.40232666666077
4153.795,-857.8878886666731,-1650.32095999994,167.2381076666604
4153.7975,-857.8878886666693,-1651.7762983332855,167.12862833332812
4153.8,-858.0747403333313,-1653.1342629999542,167.05072966666194
4153.8025,-858.0273693333341,-1653.8632479999526,166.89282666666355
4153.805,-857.9721033333335,-1652.6026563332882,166.81703333332746
4153.8075,-857.7536710000015,-1650.860460999965,166.69702699999326
4153.81,-857.4510236666694,-1649.5551303332982,166.5812316666629
4153.8125,-857.38259933334,-1649.6919793332927,166.53701866666088
4153.815,-857.2773306666718,-1651.0236269999607,166.41911766666064
4153.8175,-857.3299650000021,-1651.9499906666267,166.27384699999433
4153.82,-857.2036430000018,-1652.0789446666215,166.21910733333013
4153.8225,-857.037844999996,-1650.0972633332944,166.10541733332988
4153.825,-856.8773103333234,-1648.4050706666274,165.9917273333296
4153.8275,-856.7641466666556,-1647.2865919999624,165.8969856666634
4153.83,-856.6588779999952,-1648.160321333306,165.76224199999513
4153.8325,-856.553609333327,-1649.1945853332988,165.63381433332881
4153.835,-856.5272919999901,-1649.641976999957,165.55381033332864
4153.8375,-856.5246603333236,-1648.8314086666176,165.42538266666233
4153.84,-856.293069333327,-1647.6655589999475,165.326430333332
4153.8425,-856.1193759999936,-1647.1313209999507,165.2737963333338
4153.845,-855.9930536666575,-1647.1629016666207,165.15800099999953
4153.8475,-855.8588363333217,-1648.652452333287,165.07799699999936
4153.85,-855.6035599999906,-1649.131424333295,165.01062499999924
4153.8525,-855.3403883333241,-1649.2972223333084,164.88640799999703
4153.855,-855.1903803333252,-1648.5340249999738,164.78324499999482
4153.8575,-854.9061553333265,-1648.2524316666493,164.68218733333052
4153.86,-854.7772009999879,-1648.757720999994,164.5558649999982
4153.8625,-854.4929759999892,-1650.4130699999941,164.5053359999981
4153.865,-854.3956023333207,-1653.0579436666642,164.42112133333382
4153.8675,-854.3666533333172,-1655.1396303333343,164.32006333333362
4153.87,-854.0008449999848,-1656.539702666675,164.22742700000137
4153.8725,-853.7139883333197,-1655.6975536666655,164.16426600000122
4153.875,-853.2718603333226,-1654.7238193333303,164.065313333335
4153.8775,-853.0218473333244,-1654.1106296666587,163.9895200000028
4153.88,-852.7455173333253,-1655.3449039999862,163.90109433333856
4153.8825,-852.6376169999907,-1656.8923526666438,163.82951166667044
4153.885,-852.5270849999894,-1657.7555549999854,163.74319133333628
4153.8875,-852.232332666653,-1657.1028896666598,163.63581766667
4153.89,-852.008636999984,-1655.2606893333295,163.54107600000376
4153.8925,-851.6665139999861,-1653.7711386666633,163.41896433333557
4153.895,-851.5533499999904,-1653.1079463333358,163.31159033333338
4153.8975,-851.6086159999948,-1654.592233666669,163.21895400000116
4153.9,-851.6033526666617,-1655.3817483333405,163.17474133333502
4153.9025,-851.484925666661,-1655.4291190000097,163.08842100000086
4153.905,-851.3691303333268,-1653.9474633333427,163.01683833333664
4153.9075,-851.2585983333255,-1652.4947566666795,162.93262366666846
4153.91,-851.0322709999901,-1651.4815463333546,162.8505140000023
4153.9125,-850.740150666656,-1651.644712666686,162.79998533333418
4153.915,-850.6690943333243,-1652.2579020000219,162.70524366666797
4153.9175,-850.5190866666613,-1652.3315900000123,162.60629100000176
4153.92,-850.4006593333324,-1651.8578810000172,162.5389190000016
4153.9225,-850.279600333337,-1649.9683096666975,162.45680933333546
4153.925,-850.3085490000046,-1648.815618666696,162.38522700000323
4153.9275,-850.3848686666694,-1647.9524163333544,162.30311766666904
4153.93,-850.3374980000003,-1647.9260990000175,162.21258666667077
4153.9325,-850.440134666666,-1647.1181623333443,162.12205566666864
4153.935,-850.300654000005,-1645.6180846666762,162.04205166666847
4153.9375,-850.4164493333393,-1643.0784796666665,161.94099366666828
4153.94,-850.3190760000066,-1639.6598819999956,161.83572500000008
4153.9425,-850.1953856666805,-1636.888685999997,161.7536156666698
4153.945,-850.3453933333435,-1634.796472666661,161.69887600000558
4153.9475,-850.4901376666811,-1634.962270666659,161.63150400000546
4153.95,-850.8033116666833,-1635.2596543333339,161.5199193333392
4153.9525,-850.9217390000122,-1635.1649126666753,161.4504420000051
4153.955,-851.0691150000087,-1633.041118666685,161.35570033333886
4153.9575,-851.0085856666789,-1630.680470333357,161.23148366667252
4153.96,-851.1691203333437,-1629.1172316666848,161.14937400000636
4153.9625,-851.3533406666791,-1629.0014363333582,161.0398946666741
4153.965,-851.4954533333502,-1630.1751813333638,160.95357466667193
4153.9675,-851.7349393333541,-1631.0252253333572,160.90304566667183
4153.97,-851.7796786666847,-1631.1910233333551,160.82935766667362
4153.9725,-851.661251666684,-1629.2435540000288,160.73882666667149
4153.975,-851.682305333352,-1627.985594000031,160.61250433333916
4153.9775,-851.7007273333535,-1627.3671410000263,160.53671100000696
4153.98,-851.8717886666844,-1628.3250853333623,160.43986400000674
4153.9825,-851.9507400000158,-1629.2672393333632,160.36407066667454
4153.985,-852.1428550000147,-1629.8093726666955,160.24195900000632
4153.9875,-852.4586606666834,-1629.2514490000283,160.138795666676
4153.99,-852.5639293333438,-1628.1329703333633,160.07142366667588
4153.9925,-852.7823616666719,-1627.53293933336,159.9956303333398
4153.995,-852.9139476666693,-1627.3066120000246,159.8945723333396
4153.9975,-853.1508019999989,-1628.622469666678,159.7661446666733
4154.0,-853.3139683333303,-1629.5119893333408,159.6671920000032
4154.0025,-853.3666026666605,-1630.0357006666716,159.568239333337
4154.005,-853.4771346666618,-1629.0724930000026,159.46928666667083
4154.0075,-853.4876616666637,-1628.1487613333388,159.38086100000655
4154.01,-853.7350426666594,-1627.8619046666659,159.30085700000637
4154.0125,-853.7613596666604,-1628.6619460000036,159.19769400000416
4154.015,-854.014004333325,-1630.8225840000125,159.12190066667196
4154.0175,-854.2455949999858,-1632.512145000013,159.0418963333359
