,"Time      (s) efficiency_1,000e+00","Thrust    (N) efficiency_1,000e+00"
1627,1.6269999999999316,3709.5486709580346
1628,1.6279999999999315,3709.4580513320834
1629,1.6289999999999314,3709.367431015839
1630,1.6299999999999313,3709.2768100093863
1631,1.6309999999999312,3709.18618831284
1632,1.631999999999931,3709.0955659262727
1633,1.632999999999931,3709.004942849804
1634,1.6339999999999308,3708.914319083511
1635,1.6349999999999307,3708.823694627493
1636,1.6359999999999306,3708.733069481854
1637,1.6369999999999305,3708.642443646665
1638,1.6379999999999304,3708.5518171220474
1639,1.6389999999999303,3708.46118990809
1640,1.6399999999999302,3708.3705620048654
1641,1.64099999999993,3708.2799334125016
1642,1.64199999999993,3708.189304131068
1643,1.6429999999999298,3708.098674160667
1644,1.6439999999999295,3708.0080435013833
1645,1.6449999999999296,3707.917412153324
1646,1.6459999999999295,3707.826780116583
1647,1.6469999999999294,3707.736147391247
1648,1.6479999999999293,3707.645513977412
1649,1.6489999999999292,3707.554879875167
1650,1.649999999999929,3707.4642450846186
1651,1.650999999999929,3707.373609605846
1652,1.6519999999999289,3707.282973438949
1653,1.6529999999999287,3707.1923365840207
1654,1.6539999999999286,3707.101699041146
1655,1.6549999999999283,3707.011060810433
1656,1.6559999999999284,3706.9204218919554
1657,1.6569999999999283,3706.829782285832
1658,1.6579999999999282,3706.7391419921255
1659,1.658999999999928,3706.648501010943
1660,1.659999999999928,3706.557859342387
1661,1.660999999999928,3706.467216986528
1662,1.6619999999999278,3706.376573943476
1663,1.6629999999999276,3706.285930213308
1664,1.6639999999999275,3706.195285796138
1665,1.6649999999999274,3706.104640692037
1666,1.665999999999927,3706.013994901101
1667,1.6669999999999272,3705.923348423438
1668,1.667999999999927,3705.832701259113
1669,1.668999999999927,3705.7420534082335
1670,1.6699999999999269,3705.651404870881
1671,1.6709999999999268,3705.560755647159
1672,1.6719999999999269,3705.470105737148
1673,1.6729999999999263,3705.379455140953
1674,1.6739999999999264,3705.288803858647
1675,1.6749999999999263,3705.198151890336
1676,1.6759999999999262,3705.107499236097
1677,1.676999999999926,3705.0168458960406
1678,1.677999999999926,3704.926191870237
1679,1.678999999999926,3704.8355371587754
1680,1.6799999999999258,3704.744881761768
1681,1.6809999999999257,3704.6542256792895
1682,1.6819999999999256,3704.563568911429
1683,1.6829999999999254,3704.4729114582888
1684,1.6839999999999251,3704.382253319939
1685,1.6849999999999252,3704.2915944964784
1686,1.6859999999999251,3704.200934988016
1687,1.686999999999925,3704.1102747946015
1688,1.687999999999925,3704.019613916354
1689,1.6889999999999248,3703.9289523533625
1690,1.689999999999925,3703.8382901057007
1691,1.6909999999999246,3703.747627173476
1692,1.6919999999999245,3703.656963556752
1693,1.6929999999999243,3703.566299255641
1694,1.6939999999999242,3703.475634270226
1695,1.694999999999924,3703.38496860059
1696,1.695999999999924,3703.2943022468335
1697,1.696999999999924,3703.203635209025
1698,1.6979999999999238,3703.1129674872686
1699,1.6989999999999237,3703.022299081648
1700,1.6999999999999236,3702.93162999226
1701,1.7009999999999237,3702.840960219172
1702,1.7019999999999234,3702.750289762496
1703,1.7029999999999232,3702.659618622311
1704,1.7039999999999231,3702.568946798688
1705,1.704999999999923,3702.478274291743
1706,1.705999999999923,3702.387601101536
1707,1.7069999999999228,3702.296927228184
1708,1.7079999999999227,3702.206252671744
1709,1.7089999999999226,3702.115577432328
1710,1.7099999999999225,3702.024901510016
1711,1.7109999999999224,3701.934224904877
1712,1.7119999999999225,3701.843547617026
1713,1.712999999999922,3701.752869646539
1714,1.713999999999922,3701.662190993488
1715,1.714999999999922,3701.57151165798
1716,1.7159999999999218,3701.480831640087
1717,1.7169999999999217,3701.390150939912
1718,1.7179999999999216,3701.299469557531
1719,1.7189999999999217,3701.2087874930166
1720,1.7199999999999214,3701.1181047464856
1721,1.7209999999999213,3701.027421318002
1722,1.7219999999999211,3700.9367372076586
1723,1.722999999999921,3700.8460524155375
1724,1.723999999999921,3700.755366941723
1725,1.7249999999999208,3700.664680786313
1726,1.7259999999999207,3700.5739939493888
1727,1.7269999999999206,3700.48330643102
1728,1.7279999999999205,3700.392618231303
1729,1.7289999999999204,3700.301929350332
1730,1.7299999999999205,3700.2112397881806
1731,1.7309999999999202,3700.12054954493
1732,1.73199999999992,3700.029858620685
1733,1.73299999999992,3699.939167015508
1734,1.7339999999999198,3699.848474729494
1735,1.7349999999999195,3699.757781762728
1736,1.7359999999999196,3699.667088115299
1737,1.7369999999999195,3699.576393787282
1738,1.7379999999999194,3699.485698778765
1739,1.7389999999999193,3699.3950030898313
1740,1.7399999999999192,3699.304306720565
1741,1.740999999999919,3699.2136096710447
1742,1.741999999999919,3699.122911941369
1743,1.7429999999999188,3699.032213531621
1744,1.7439999999999187,3698.941514441861
1745,1.7449999999999186,3698.8508146721897
1746,1.7459999999999185,3698.7601142226954
1747,1.7469999999999184,3698.669413093448
1748,1.7479999999999185,3698.578711284552
1749,1.7489999999999182,3698.4880087960582
1750,1.749999999999918,3698.3973056280793
1751,1.750999999999918,3698.306601780688
1752,1.7519999999999178,3698.215897253961
1753,1.7529999999999175,3698.1251920479863
1754,1.7539999999999176,3698.034486162841
1755,1.7549999999999175,3697.943779598616
1756,1.7559999999999174,3697.853072355394
