,time,ain1,ain2,ain4,ain5,ain8,ain9,ain11,ain12,ain13,LCM101_LOADCELL_ain1,PX309_OMEGA_ain2,PX309_OMEGA_ain4,PX309_OMEGA_ain5,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,LC101_200_ain11,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13
65,0.16250000000002274,5.48649,3.22722,2.24759,0.46929,-1.2408,-2.62182,1.91789,-0.85204,-1.77672,4541.29062,645.44385,449.51795,93.85748,-498.1602,-774.36395,64.65034,-420.40881,-605.34469
66,0.16499999999996362,5.54776,3.22027,2.25517,0.47845,-1.23133,-2.61203,1.9201,-0.84889,-1.77357,4593.01014,644.05431,451.03381,95.68915,-496.26536,-772.40595,64.7445,-419.7772,-604.71307
67,0.1675000000000182,5.17416,3.22375,2.24727,0.47402,-1.25375,-2.63193,1.9081,-0.86341,-1.78967,4277.62771,644.74908,449.45479,94.8049,-500.74981,-776.38511,64.23338,-422.68261,-607.93429
68,0.17000000000007276,5.01942,3.2269,2.2239,0.47687,-1.25912,-2.64108,1.9242,-0.85931,-1.78904,4146.99594,645.38069,444.78086,95.37335,-501.82354,-778.21678,64.91935,-421.86152,-607.80797
69,0.17250000000001364,5.29985,3.22627,2.21506,0.47434,-1.25122,-2.62908,1.92863,-0.85141,-1.77641,4383.7327,645.25437,443.01235,94.86806,-500.24452,-775.81666,65.10766,-420.28249,-605.28152
70,0.1750000000000682,6.33159,3.21459,2.22359,0.47781,-1.25122,-2.63098,1.92263,-0.85457,-1.77893,5254.70006,642.91741,444.7177,95.56283,-500.24452,-776.19562,64.8521,-420.9141,-605.78681
71,0.1775000000000091,6.41654,3.22754,2.23496,0.46897,-1.24143,-2.61835,1.9002,-0.85868,-1.77925,5326.41423,645.50701,446.9915,93.79432,-498.28652,-773.66918,63.89712,-421.73519,-605.84998
72,0.18000000000006366,5.06395,3.22375,2.23875,0.47434,-1.23417,-2.61108,1.91126,-0.84731,-1.76883,4184.5859,644.74908,447.74943,94.86806,-496.83381,-772.21647,64.36789,-419.46139,-603.76566
73,0.18250000000000455,5.68419,3.20448,2.24443,0.47939,-1.23164,-2.60698,1.90684,-0.85078,-1.77609,4708.17937,640.89625,448.88634,95.87863,-496.32852,-771.39538,64.17958,-420.15617,-605.21836
74,0.18500000000005912,5.7344,3.22375,2.2498,0.46487,-1.24333,-2.62529,1.90273,-0.86562,-1.79283,4750.56805,644.74908,449.96008,92.97322,-498.66549,-775.05872,64.00473,-423.12474,-608.56591
75,0.1875,5.7025,3.22943,2.24759,0.47845,-1.24175,-2.63003,1.90431,-0.86847,-1.79409,4723.64191,645.88598,449.51795,95.68915,-498.34968,-776.00614,64.07198,-423.69319,-608.81855
76,0.19000000000005457,5.79251,3.23132,2.24633,0.47939,-1.24522,-2.63319,1.92294,-0.85962,-1.78241,4799.62161,646.26495,449.2653,95.87863,-499.04445,-776.63775,64.86555,-421.92468,-606.48159
77,0.19249999999999545,5.10626,3.22659,2.23654,0.47971,-1.22596,-2.61708,1.9081,-0.86057,-1.78083,4220.30969,645.31753,447.30731,95.9418,-495.19162,-773.41653,64.23338,-422.11416,-606.16578
78,0.19500000000005002,5.23543,3.23006,2.26464,0.4816,-1.23006,-2.61961,1.91157,-0.85489,-1.7843,4329.34723,646.0123,452.92865,96.32076,-496.01272,-773.92182,64.38134,-420.97726,-606.86055
79,0.1974999999999909,5.81146,3.22911,2.2697,0.48129,-1.23859,-2.62593,1.90083,-0.87004,-1.79662,4815.61734,645.82282,453.93923,96.2576,-497.71807,-775.18505,63.92403,-424.009,-609.32384
80,0.20000000000004547,6.04515,3.23638,2.26559,0.48097,-1.23985,-2.62466,1.89768,-0.86847,-1.7963,5012.89798,647.27553,453.11813,96.19444,-497.97071,-774.9324,63.78952,-423.69319,-609.26068
81,0.20249999999998636,5.56797,3.23132,2.26464,0.48697,-1.24112,-2.62719,1.89926,-0.87257,-1.80451,4610.07225,646.26495,452.92865,97.3945,-498.22336,-775.43769,63.85677,-424.51429,-610.90287
82,0.20500000000004093,5.33554,3.23417,2.26717,0.48792,-1.22848,-2.61392,1.90684,-0.86499,-1.78651,4413.85799,646.8334,453.43394,97.58399,-495.69691,-772.78492,64.17958,-422.99842,-607.30268
83,0.2074999999999818,6.43644,3.22501,2.26906,0.49392,-1.23101,-2.61803,1.93115,-0.85299,-1.7783,5343.20975,645.00173,453.81291,98.78405,-496.2022,-773.60602,65.21526,-420.59829,-605.66049
