,Time      (s),Ullage       
7989,7.989000000001003,0.8827535725558722
7990,7.990000000001003,0.882814580564878
7991,7.991000000001003,0.8828755841369658
7992,7.992000000001004,0.8829365832724517
7993,7.993000000001004,0.882997577971652
7994,7.994000000001004,0.8830585682348825
7995,7.995000000001005,0.8831195540624593
7996,7.996000000001005,0.883180535454698
7997,7.997000000001005,0.883241512411915
7998,7.998000000001006,0.8833024849344252
7999,7.999000000001006,0.8833634530225446
8000,8.000000000001005,0.8834244166765884
8001,8.001000000001005,0.8834853758968724
8002,8.002000000001004,0.8835463306837112
8003,8.003000000001004,0.8836072810374206
8004,8.004000000001003,0.8836682269583155
8005,8.005000000001003,0.8837291684467108
8006,8.006000000001002,0.8837901055029216
8007,8.007000000001002,0.8838510381272622
8008,8.008000000001001,0.8839119663200479
8009,8.009000000001,0.8839728900815931
8010,8.010000000001,0.8840338094122122
8011,8.011000000001,0.8840947243122197
8012,8.012000000000999,0.8841556347819302
8013,8.013000000000998,0.8842165408216573
8014,8.014000000000998,0.8842774424317159
8015,8.015000000000997,0.8843383396124197
8016,8.016000000000997,0.8843992323640824
8017,8.017000000000996,0.8844601206870182
8018,8.018000000000995,0.8845210045815407
8019,8.019000000000995,0.8845818840479639
8020,8.020000000000994,0.8846427590866008
8021,8.021000000000994,0.8847036296977653
8022,8.022000000000993,0.8847644958817706
8023,8.023000000000993,0.8848253576389302
8024,8.024000000000992,0.8848862149695571
8025,8.025000000000992,0.8849470678739645
8026,8.026000000000991,0.8850079163524655
8027,8.02700000000099,0.8850687604053726
8028,8.02800000000099,0.8851296000329993
8029,8.02900000000099,0.8851904352356578
8030,8.030000000000989,0.8852512660136609
8031,8.031000000000988,0.8853120923673211
8032,8.032000000000988,0.8853729142969509
8033,8.033000000000987,0.8854337318028626
8034,8.034000000000987,0.8854945448853684
8035,8.035000000000986,0.8855553535447807
8036,8.036000000000985,0.8856161577814112
8037,8.037000000000985,0.8856769575955723
8038,8.038000000000984,0.8857377529875756
8039,8.039000000000984,0.8857985439577329
8040,8.040000000000983,0.885859330506356
8041,8.041000000000983,0.8859201126337565
8042,8.042000000000982,0.8859808903402457
8043,8.043000000000982,0.8860416636261353
8044,8.044000000000981,0.8861024324917365
8045,8.04500000000098,0.8861631969373603
8046,8.04600000000098,0.8862239569633181
8047,8.04700000000098,0.886284712569921
8048,8.048000000000979,0.8863454637574797
8049,8.049000000000978,0.8864062105263053
8050,8.050000000000978,0.8864669528767082
8051,8.051000000000977,0.8865276908089992
8052,8.052000000000977,0.8865884243234892
8053,8.053000000000976,0.8866491534204882
8054,8.054000000000975,0.8867098781003069
8055,8.055000000000975,0.8867705983632554
8056,8.056000000000974,0.8868313142096439
8057,8.057000000000974,0.8868920256397826
8058,8.058000000000973,0.8869527326539816
8059,8.059000000000973,0.8870134352525503
8060,8.060000000000972,0.8870741334357992
8061,8.061000000000972,0.8871348272040375
8062,8.062000000000971,0.8871955165575751
8063,8.06300000000097,0.8872562014967215
8064,8.06400000000097,0.8873168820217859
8065,8.06500000000097,0.8873775581330781
8066,8.066000000000969,0.8874382298309069
8067,8.067000000000968,0.8874988971155818
8068,8.068000000000968,0.8875595599874117
